##########对EK和PR进行时间测试##########
节点数量从5到20
边数与节点数量的比例从1.2到5
每种参数生成10个图进行测试
每个图进行10次测试

节点数	边数	EK用时	PR用时
9	30	1.16	2.14
9	31	0.85	1.79
9	32	0.92	1.4
9	33	1	1.76
9	34	0.86	1.8
9	35	1.18	1.87
9	36	0.92	1.49
9	37	1.11	2.35
9	38	1.17	2.2
9	39	1.2	1.87
9	40	1.31	2.39
9	41	1.19	2.44
9	42	1.47	2.83
9	43	1.38	1.85
9	44	1.49	3.32
9	45	1.13	2.27
10	13	0.55	1.8
10	14	0.61	1.48
10	15	0.6	1.48
10	16	0.6	1.8
10	17	0.87	1.3
10	18	0.68	1.92
10	19	0.61	1.01
10	20	0.62	1.66
10	21	0.81	1.88
10	22	0.7	1.39
10	23	0.81	2.4
10	24	0.9	2.47
10	25	0.92	1.6
10	26	0.77	2.23
10	27	1.06	1.9
10	28	0.88	2
10	29	0.84	1.73
10	30	1.13	2.68
10	31	0.95	2.62
10	32	1.14	1.84
10	33	1.25	2.92
10	34	1.42	2.52
10	35	1.59	2.88
10	36	1.07	2.19
10	37	1.21	2.36
10	38	1.14	3.01
10	39	1.15	2.21
10	40	1.13	2.46
10	41	1.04	2.61
10	42	1.36	2.92
10	43	1.23	1.95
10	44	1.31	3.12
10	45	1.51	3.93
10	46	1.51	3.38
10	47	1.37	2.85
10	48	1.39	1.61
10	49	1.57	2.11
10	50	1.62	4.09
11	14	0.63	1.31
11	15	0.9	2.44
11	16	0.74	1.75
11	17	0.68	1.27
11	18	0.67	2.02
11	19	0.74	2.26
11	20	0.81	1.75
11	21	0.71	1.72
11	22	0.76	2.06
11	23	0.92	2.46
11	24	1.01	3.15
11	25	0.78	2.9
11	26	1.07	2.26
11	27	0.8	1.79
11	28	0.8	2.03
11	29	0.94	3.03
11	30	1.05	2.07
11	31	1.02	3.14
11	32	1.21	2.56
11	33	0.96	3.01
11	34	0.96	1.6
11	35	1.26	2.44
11	36	1.03	2.99
11	37	1.4	3.33
11	38	1.09	3.37
11	39	1.21	3.63
11	40	0.95	2.7
11	41	1.6	3.56
11	42	1.57	3.93
11	43	1.58	3.05
11	44	1.35	1.49
11	45	1.27	3.46
11	46	1.33	3.56
11	47	1.43	3.47
11	48	1.52	1.65
11	49	1.76	3.89
11	50	1.42	4.12
11	51	1.5	5.72
11	52	2.22	5.02
11	53	1.58	3.18
11	54	1.64	4.45
11	55	1.68	3.14
12	15	0.7	1.97
12	16	0.69	1.53
12	17	0.83	2.71
12	18	0.79	3.16
12	19	0.9	1.37
12	20	0.81	2.25
12	21	0.78	1.65
12	22	0.87	1.93
12	23	1.09	2.45
12	24	0.97	2.12
12	25	0.87	2.65
12	26	0.98	2.27
12	27	1.02	2.75
12	28	1.13	3.41
12	29	0.89	1.81
12	30	1.48	3.16
12	31	0.91	2.51
12	32	1.06	2.34
12	33	1.46	3.94
12	34	1.04	4.08
12	35	1.03	2.66
12	36	1.1	1.79
12	37	1.25	3.16
12	38	1.18	3.4
12	39	1.48	4.52
12	40	1.29	4.13
12	41	1.13	3.39
12	42	1.75	3.23
12	43	1.26	4.58
12	44	1.7	4.9
12	45	2.01	4.93
12	46	1.3	4.33
12	47	1.78	5.18
12	48	1.4	4.34
12	49	1.85	3.24
12	50	1.5	3.31
12	51	1.73	3.59
12	52	1.73	3.1
12	53	1.46	3.47
12	54	1.58	4.04
12	55	1.56	4.1
12	56	1.61	5.7
12	57	2.22	4.34
12	58	2.44	4.29
12	59	1.83	5.75
12	60	2.66	4.21
13	16	0.72	2.4
13	17	0.79	2.31
13	18	0.76	1.73
13	19	0.83	2.34
13	20	0.81	3.39
13	21	0.93	2.63
13	22	0.76	1.37
13	23	0.87	1.85
13	24	0.99	3.38
13	25	0.94	2.58
13	26	0.95	4.75
13	27	0.89	3.12
13	28	1.14	4.12
13	29	0.96	3.29
13	30	1.62	4.19
13	31	1.34	3.88
13	32	1.08	2.75
13	33	1.43	5.04
13	34	1.3	4.94
13	35	1.32	4.04
13	36	1.15	3.77
13	37	1.68	4.43
13	38	1.51	3.87
13	39	1.4	3.97
13	40	1.37	5.02
13	41	1.33	3.64
13	42	1.56	3.58
13	43	1.59	5.15
13	44	1.82	5.14
13	45	1.25	5.05
13	46	1.94	5.03
13	47	2.48	5.8
13	48	2.06	5.25
13	49	1.77	3.89
13	50	1.71	4.24
13	51	2.33	5.2
13	52	1.45	7.94
13	53	2.42	5.17
13	54	1.89	5.33
13	55	2.02	4.78
13	56	1.7	8.22
13	57	1.68	5.59
13	58	1.55	4.04
13	59	2.72	4.26
13	60	1.97	4.14
13	61	2.48	4.5
13	62	2.21	9.19
13	63	2.63	7.11
13	64	1.98	5.78
13	65	2.05	5.93
14	17	0.81	2.7
14	18	0.93	3.39
14	19	1.04	2.22
14	20	0.83	1.8
14	21	0.86	3.71
14	22	0.89	2.07
14	23	1.09	1.94
14	24	1.23	3.61
14	25	1.06	2.82
14	26	1.3	4.64
14	27	1.06	4.05
14	28	1.02	3.64
14	29	1.13	2.53
14	30	1.16	3.15
14	31	1.12	2.8
14	32	1.46	3.95
14	33	1.33	3.89
14	34	1.3	5.58
14	35	1.48	4.42
14	36	1.01	4.15
14	37	1.08	5.63
14	38	1.94	4.43
14	39	1.38	3.69
14	40	1.28	4.1
14	41	1.49	5.41
14	42	1.64	3.9
14	43	2.22	4.29
14	44	2.04	5.67
14	45	2.53	5.21
14	46	1.9	6.28
14	47	1.74	6.71
14	48	1.29	3.18
14	49	1.78	5.91
14	50	1.8	5.75
14	51	1.76	5.98
14	52	2.38	4.93
14	53	2.06	4.37
14	54	1.94	5.57
14	55	2.06	10.51
14	56	1.73	6.82
14	57	1.63	4.57
14	58	2.09	4.26
14	59	2.3	8.76
14	60	1.92	9.64
14	61	2.48	5.76
14	62	2.1	5.48
14	63	2.15	5.16
14	64	2.36	5.77
14	65	2.07	8.18
14	66	3.29	10.15
14	67	2.3	6.46
14	68	1.84	5.22
14	69	2.85	5.04
14	70	2.66	10.04
15	19	0.95	4.39
15	20	1.29	3.05
15	21	1.17	3.45
15	22	0.96	6.18
15	23	1.22	3.11
15	24	0.98	3.72
15	25	1.11	3.11
15	26	1.39	4.55
15	27	1.44	5.44
15	28	1.37	4.88
15	29	1.07	2.91
15	30	1.36	3.34
15	31	1.28	4.34
15	32	1.98	5.29
15	33	1.2	2.72
15	34	1.05	2.44
15	35	1.31	3.74
15	36	1.26	4.08
15	37	1.52	2.82
15	38	2.05	4.42
15	39	1.25	3.6
15	40	1.73	3.79
15	41	1.63	3.79
15	42	1.87	7.02
15	43	1.64	6.06
15	44	1.41	6.75
15	45	1.9	6.08
15	46	1.86	4.1
15	47	1.55	6.6
15	48	1.92	10.31
15	49	1.8	5.62
15	50	1.79	6.91
15	51	1.52	7.87
15	52	1.98	8.55
15	53	2.06	6.51
15	54	2.11	6.29
15	55	2.09	9.71
15	56	2.78	8.17
15	57	2.35	9.39
15	58	1.85	6.16
15	59	2.53	10.39
15	60	2.41	8.84
15	61	2.52	8.84
15	62	2.92	11.22
15	63	2.58	11.46
15	64	2.06	5.38
15	65	2.48	8.32
15	66	2.51	9.09
15	67	4.74	9.84
15	68	2.39	9.3
15	69	2.62	10.01
15	70	2.53	11.05
15	71	2.05	6.44
15	72	2.53	12.3
15	73	3.39	9.06
15	74	2.59	4.38
15	75	3.24	6.86
16	20	1.25	2.51
16	21	1.09	3.93
16	22	1.08	2.93
16	23	1.67	4.06
16	24	1.17	2.78
16	25	1.33	3.2
16	26	1	4.49
16	27	1.26	2.83
16	28	1.15	2.34
16	29	1.23	7.93
16	30	1.34	3.66
16	31	1.25	7.03
16	32	1.6	4.13
16	33	1.12	3.87
16	34	1.55	3.28
16	35	1.39	5.7
16	36	1.48	3.36
16	37	1.62	10.2
16	38	1.7	4.72
16	39	1.56	6.68
16	40	2	5.32
16	41	1.68	2.94
16	42	1.38	5.08
16	43	1.54	3.98
16	44	1.69	5.6
16	45	1.9	7.62
16	46	1.79	6.26
16	47	1.77	5.71
16	48	1.88	6.55
16	49	1.77	7.2
16	50	1.97	8.26
16	51	2	8.23
16	52	1.89	6.87
16	53	1.68	6.58
16	54	1.94	11.29
16	55	2.2	7.29
16	56	2.94	11.21
16	57	2.06	10.61
16	58	2.32	7.35
16	59	2.64	9.16
16	60	2.1	5.36
16	61	2.65	13.34
16	62	2.43	8.91
16	63	3.12	8.49
16	64	2.12	8.56
16	65	2.73	14.27
16	66	2.83	8.59
16	67	2.63	8.85
16	68	2.26	12.45
16	69	3.16	6.92
16	70	2.57	7.83
16	71	2.63	11.3
16	72	3.12	7.11
16	73	3.14	16.66
16	74	2.83	14.91
16	75	3.61	13.63
16	76	3.23	10.65
16	77	2.23	6.49
16	78	2.93	5.57
16	79	3.44	11.08
16	80	3.38	11.74
17	21	1.1	3.88
17	22	1.25	3.53
17	23	1.94	6.13
17	24	1.1	2.39
17	25	1.15	4.28
17	26	1.23	2.58
17	27	1.28	5.13
17	28	1.21	5.12
17	29	1.67	3.63
17	30	1.44	6.54
17	31	1.45	4.76
17	32	1.56	7.44
17	33	1.41	4.24
17	34	1.57	8.05
17	35	2.38	5.51
17	36	1.28	3.78
17	37	1.91	5.29
17	38	2.2	7.68
17	39	1.97	6.13
17	40	1.89	6.24
17	41	2.13	4.9
17	42	1.82	6.1
17	43	1.46	6.9
17	44	1.48	4.46
17	45	1.86	4.08
17	46	1.61	8.72
17	47	2.06	8.41
17	48	2.41	10.18
17	49	1.87	7.58
17	50	1.98	9.46
17	51	2.08	5.81
17	52	2.14	9.94
17	53	2.66	8.48
17	54	1.77	5.9
17	55	2.33	9.63
17	56	3.18	10.05
17	57	2.5	6.57
17	58	2.75	11.89
17	59	2.16	7.9
17	60	3.29	10.79
17	61	2.29	6.57
17	62	2.89	9.53
17	63	3.18	9.75
17	64	1.93	8.15
17	65	2.25	11.42
17	66	2.36	13.22
17	67	2.43	13.36
17	68	2.49	14.54
17	69	3.12	14.13
17	70	2.14	7.34
17	71	3.06	10.45
17	72	2.67	9.65
17	73	2.36	8.88
17	74	2.37	8.42
17	75	3.64	10.09
17	76	2.88	12.67
17	77	3.64	13.56
17	78	2.67	14.97
17	79	3.47	14.78
17	80	3.27	10
17	81	2.71	12.06
17	82	1.99	9.98
17	83	3.3	12.49
17	84	4.02	13.64
17	85	2.37	14.44
18	22	1.1	4.6
18	23	1.01	2.66
18	24	1.47	5.49
18	25	1.44	5.11
18	26	1.63	10.29
18	27	1.22	6.15
18	28	1.09	2.77
18	29	1.77	4.6
18	30	1.61	4.52
18	31	1.66	7.17
18	32	1.52	5.66
18	33	1.33	3.47
18	34	1.3	4.26
18	35	1.73	6.27
18	36	1.81	8.12
18	37	1.37	3.15
18	38	1.67	4.85
18	39	1.34	7.56
18	40	1.37	5.75
18	41	1.84	6.63
18	42	1.65	9.44
18	43	1.86	10.03
18	44	2.17	8.09
18	45	2.39	5.76
18	46	1.82	8.79
18	47	1.97	9.67
18	48	1.94	10.69
18	49	2.05	8.39
18	50	2.16	8.31
18	51	2.73	11.57
18	52	2.05	15.04
18	53	2.66	16.7
18	54	2.34	17.02
18	55	2.83	7.37
18	56	2.9	8.29
18	57	3.04	13.84
18	58	2.43	16.26
18	59	3.53	11.34
18	60	2	5.07
18	61	2.43	8.98
18	62	2.79	9.77
18	63	2.15	10.59
18	64	2.47	7.74
18	65	3.3	13.88
18	66	3.08	10.01
18	67	2.93	10.05
18	68	2.62	13.33
18	69	3.7	10.56
18	70	3.01	10.73
18	71	2.87	12.2
18	72	2.86	10.48
18	73	3.49	15.74
18	74	2.68	8.35
18	75	3.1	10.48
18	76	3.04	8.47
18	77	3.35	14.87
18	78	2.78	13.96
18	79	3.7	8.99
18	80	3.26	12.2
18	81	3.87	18.55
18	82	2.46	14.13
18	83	3.34	14.29
18	84	3.45	16.29
18	85	3	15.08
18	86	3.78	9.67
18	87	3.86	17.43
18	88	3.38	11.13
18	89	3.21	15.92
18	90	3.49	17.49
19	23	1.58	3.7
19	24	1.29	5.31
19	25	1.71	5.57
19	26	1.63	4.19
19	27	1.79	9.09
19	28	1.56	3.95
19	29	1.21	3.11
19	30	1.45	8.75
19	31	1.47	3.68
19	32	1.45	6.33
19	33	1.36	4.97
19	34	1.56	2.91
19	35	1.65	12.18
19	36	1.43	3.02
19	37	1.81	5.75
19	38	2.11	6.87
19	39	1.69	4.86
19	40	1.83	6.67
19	41	1.59	6.79
19	42	1.85	7.29
19	43	2.25	6.86
19	44	2.76	9.89
19	45	2.34	5.83
19	46	1.8	9.52
19	47	2.72	8.66
19	48	1.92	6.64
19	49	2.25	6.25
19	50	2.77	11.4
19	51	2.18	8
19	52	2	8.12
19	53	2.41	8.35
19	54	3.7	9.18
19	55	3.74	8.85
19	56	2.46	11.87
19	57	2.83	8.13
19	58	2.63	9.71
19	59	2.33	10.77
19	60	2.48	12.08
19	61	2.74	13.7
19	62	3.16	13.63
19	63	2.98	5.28
19	64	2.83	15.95
19	65	2.81	16.13
19	66	2.55	11.82
19	67	2.71	11.98
19	68	3.53	9.21
19	69	2.59	12.28
19	70	3.55	8.71
19	71	2.91	13.91
19	72	3.42	13.53
19	73	4	15.05
19	74	3.19	14.53
19	75	3.24	12.08
19	76	3.95	13.53
19	77	4.39	19.01
19	78	4.15	14.47
19	79	3.2	14.22
19	80	3.35	17.15
19	81	4.08	17.51
19	82	3.63	11.54
19	83	3.5	15.93
19	84	4.07	18.6
19	85	4.49	16.25
19	86	2.76	14.78
19	87	3.96	8.65
19	88	3.57	12.76
19	89	3.66	18.98
19	90	3.81	16.5
19	91	4.1	13.35
19	92	3.62	17.97
19	93	4.2	17.62
19	94	3.29	18.88
19	95	3.18	9.76
